tipo_cultivo,ubicacion_geografica,tamano_finca,rendimiento_cultivo,uso_fertilizantes,precio_venta (€/kg)
Tomates,"Camino Reyes Mateo 59 Apt. 93 
Cuenca, 50770",97,126,No,5
Tomates,"Pasaje de Carolina Cuenca 5 Piso 3 
León, 38694",58,662,No,6
Tomates,"Cuesta Loida Posada 6
Zaragoza, 13562",65,661,Sí,5
Tomates,"Ronda de Manu Campo 64 Piso 0 
Pontevedra, 10434",19,340,No,1
Tomates,"Glorieta de Emiliano Montserrat 87
León, 45493",43,673,Sí,6
Tomates,"Pasaje de Jennifer Villa 93 Puerta 0 
Burgos, 34566",36,333,Sí,1
Tomates,"Alameda Lucho Huerta 2 Piso 6 
Sevilla, 38956",76,759,No,4
Tomates,"Avenida de José Gaya 55
Granada, 29141",72,942,No,6
Tomates,"Glorieta Alfredo Andrade 143
La Coruña, 42374",16,145,No,1
Tomates,"Avenida de Aura Daza 8 Puerta 1 
Soria, 17495",62,736,No,3
Tomates,"Pasadizo de Dionisio Criado 21
Huesca, 24855",17,576,Sí,8
Tomates,"Via Jimena Peiró 181 Piso 1 
Ciudad, 33562",48,708,No,5
Tomates,"Urbanización Nazaret Álvarez 87
Sevilla, 37310",31,975,Sí,1
Tomates,"Callejón Basilio Adán 49
Segovia, 45398",59,516,Sí,5
Tomates,"Callejón de Serafina Chacón 51
Girona, 15401",79,288,No,3
Tomates,"Ronda de Isabela Río 54
Vizcaya, 39583",8,775,No,7
Tomates,"Via Dionisia Alfaro 93 Puerta 5 
Girona, 25637",35,687,No,7
Tomates,"Vial Óscar Redondo 7
Guipúzcoa, 04871",81,404,No,4
Tomates,"Glorieta de Hipólito Redondo 4
Sevilla, 34549",23,109,No,2
Tomates,"Callejón Albert Pacheco 82 Puerta 5 
Málaga, 05060",74,989,Sí,7
Tomates,"C. de Anabel Estévez 79
Castellón, 05298",1,245,Sí,6
Tomates,"Cuesta de Maura Perez 45
Huelva, 47967",97,248,Sí,6
Tomates,"Paseo de Jenaro Feliu 60
Madrid, 20062",85,919,Sí,5
Tomates,"Plaza de Damián Asenjo 93 Puerta 7 
Ourense, 43820",67,186,Sí,1
Tomates,"Plaza de Victoriano Ibáñez 51
Alicante, 39137",91,110,Sí,1
Tomates,"Pasaje Jaime Ibañez 865
Navarra, 46414",81,593,Sí,6
Tomates,"Acceso de Javier Torres 75 Piso 8 
Zaragoza, 33602",14,359,No,5
Tomates,"Vial Erasmo Manuel 9 Puerta 7 
La Rioja, 51382",52,719,Sí,1
Tomates,"Ronda de Ricardo Guillen 5
Granada, 21924",48,272,No,5
Tomates,"Alameda de Lola Azcona 4
Málaga, 36644",54,476,No,4
Tomates,"Calle Salomé Ramos 664
Lleida, 17795",90,704,Sí,6
Tomates,"Vial María Jesús Alcántara 8
Toledo, 38390",8,104,No,1
Tomates,"Ronda de Lino Vila 504
Ceuta, 19828",11,400,Sí,2
Tomates,"Callejón Edgardo Amat 16
Segovia, 19947",37,399,No,3
Tomates,"Pasaje Amparo Solé 50
Burgos, 18152",63,216,Sí,1
Tomates,"Callejón de Rosendo Tejedor 432 Piso 4 
Lleida, 34719",83,892,Sí,5
Tomates,"C. Amancio Clemente 843
La Rioja, 18316",69,221,No,7
Tomates,"Via Vicente Alemán 57 Piso 2 
Málaga, 02227",79,823,Sí,2
Tomates,"Urbanización Cecilio Vargas 39 Piso 8 
Álava, 01483",57,666,No,4
Tomates,"Calle Nydia Fortuny 179
Zaragoza, 43641",86,796,No,1
Tomates,"Glorieta Jordi Abril 54 Piso 0 
Álava, 20702",6,313,No,1
Tomates,"Avenida Florentino Matas 1
Córdoba, 29669",53,311,Sí,8
Tomates,"Ronda Máxima Barberá 882 Puerta 1 
Segovia, 04442",19,422,Sí,5
Tomates,"Alameda de Salomón Vilaplana 43
Álava, 17193",8,374,No,8
Tomates,"Plaza de Cipriano Garcés 6
Navarra, 48881",67,559,No,7
Tomates,"Via de Graciana Zabaleta 740
Vizcaya, 46453",84,535,Sí,2
Tomates,"Acceso Timoteo Izquierdo 97
Zaragoza, 03660",61,498,Sí,7
Tomates,"Paseo Miguel Ángel Ruiz 1 Puerta 9 
Murcia, 04754",56,738,Sí,6
Tomates,"Vial Cornelio Fernandez 36 Apt. 09 
Teruel, 30677",82,651,Sí,6
Tomates,"Alameda de Mauricio Samper 990
Ciudad, 47915",80,528,Sí,7
Tomates,"Calle de Candelas Catalá 8 Piso 1 
Santa Cruz de Tenerife, 15273",82,760,Sí,4
Tomates,"Vial Marita Girón 69
Ciudad, 09874",6,801,No,3
Tomates,"Urbanización Chus Pizarro 7 Piso 5 
Cuenca, 39375",60,274,No,7
Tomates,"Alameda de Segismundo Lopez 81
Cáceres, 05232",27,310,No,1
Tomates,"Ronda de Fidela Pozuelo 368
Lleida, 23753",18,441,No,2
Tomates,"Urbanización de Saturnino Iriarte 59
Vizcaya, 19932",48,920,Sí,1
Tomates,"Acceso Águeda Baena 90
Córdoba, 15928",89,925,Sí,4
Tomates,"Callejón Valerio Valenciano 40 Puerta 6 
Baleares, 43169",88,806,Sí,6
Tomates,"Glorieta de Luz Samper 22
Melilla, 40727",91,692,Sí,5
Tomates,"Avenida Adelia Company 72
Burgos, 35843",98,745,No,5
Tomates,"Camino de Hector Carballo 21
Madrid, 27849",78,518,Sí,2
Tomates,"Avenida Petrona Barroso 1
Tarragona, 27519",90,864,No,4
Tomates,"C. Maite Badía 50
Valladolid, 42043",40,556,No,7
Tomates,"Cañada de Florina Cabrero 11 Apt. 16 
Cádiz, 05789",8,552,Sí,8
Tomates,"Urbanización Hernando Zapata 60 Piso 3 
Teruel, 24059",19,931,Sí,6
Tomates,"Urbanización Javier Morata 830
Jaén, 11598",61,648,Sí,1
Tomates,"C. de Daniela Vergara 3 Puerta 9 
Lugo, 20869",91,932,Sí,1
Tomates,"Glorieta Sarita Echeverría 77
Pontevedra, 45613",46,278,No,7
Tomates,"Plaza de Jessica Morera 72 Piso 1 
Alicante, 04828",40,706,Sí,6
Tomates,"Pasaje Luis Miguel Baquero 5 Piso 0 
Navarra, 46926",41,951,Sí,8
Tomates,"Cañada Emelina Ayllón 98 Puerta 0 
Albacete, 38668",18,123,Sí,6
Tomates,"Rambla Jose Ignacio Huertas 18
Santa Cruz de Tenerife, 30451",14,155,Sí,2
Tomates,"Rambla Santiago Toledo 83 Piso 8 
Ceuta, 30846",79,322,Sí,8
Tomates,"Cañada de Luisa Lago 730 Apt. 00 
Jaén, 43035",87,838,No,8
Tomates,"Pasadizo de Tadeo Larrea 35
La Coruña, 29030",72,537,Sí,3
Tomates,"Calle de Máxima Pedrosa 95
Valencia, 22055",98,811,No,1
Tomates,"Rambla de Mamen Martín 73
Albacete, 48890",35,853,No,3
Tomates,"Calle de Julieta Zapata 89
Teruel, 12325",21,605,No,1
Tomates,"C. de Aitor Agustí 2 Piso 3 
Badajoz, 17138",12,848,Sí,3
Tomates,"Vial Abigaíl Palomo 63
Cuenca, 02890",44,719,No,7
Tomates,"Plaza de Ariel Jara 31 Piso 7 
Badajoz, 10921",36,328,No,1
Tomates,"Rambla de Leandro Lumbreras 37 Piso 7 
Santa Cruz de Tenerife, 09160",58,645,Sí,2
Tomates,"C. Miguela Moles 14
Málaga, 50402",81,839,No,2
Tomates,"Plaza Paca Almansa 95 Puerta 1 
Madrid, 24902",95,440,No,5
Tomates,"Calle de Gaspar Godoy 25
Teruel, 33522",64,566,No,7
Tomates,"Plaza Lino Vargas 21 Puerta 5 
Albacete, 45226",62,709,No,8
Tomates,"Cuesta Eliseo Ferreras 54 Apt. 33 
Vizcaya, 21311",48,500,No,6
Tomates,"Calle Verónica Sebastián 13 Apt. 44 
Girona, 23509",61,695,No,1
Tomates,"Calle Ricarda Ruano 82 Piso 7 
Santa Cruz de Tenerife, 39737",85,231,Sí,2
Tomates,"Acceso Aroa Vizcaíno 67
Vizcaya, 32183",1,157,No,2
Tomates,"Rambla de Zaida Martí 96 Puerta 5 
Huelva, 22760",62,849,Sí,8
Tomates,"Plaza de Alcides Linares 33 Apt. 74 
Girona, 41480",40,478,No,2
Tomates,"Cuesta de Hernando Moles 14 Piso 4 
Teruel, 35987",17,380,No,3
Tomates,"Alameda Teófila Balaguer 39 Apt. 68 
Girona, 10903",7,776,No,3
Tomates,"Acceso de Tadeo Prada 70
Lugo, 12540",31,960,Sí,3
Tomates,"Ronda Alma Valverde 40
Málaga, 34153",83,701,Sí,6
Tomates,"Plaza de Marisela Saldaña 7 Apt. 19 
León, 05331",66,475,No,4
Tomates,"Ronda Ulises Almeida 8 Piso 9 
Valladolid, 24358",65,130,Sí,7
Tomates,"Callejón Ezequiel Romeu 86
Soria, 51883",53,740,No,1
Tomates,"Camino de Rodolfo Gordillo 16 Apt. 90 
Guadalajara, 10053",70,718,No,7
Tomates,"Via de Emiliano Vilalta 97
León, 20863",65,633,Sí,2
Tomates,"Pasadizo de Emma Ayala 98
Burgos, 13912",98,583,Sí,4
Tomates,"Paseo Jacobo Vega 741
Sevilla, 31921",97,146,No,3
Tomates,"Ronda Encarnación Carrión 29 Piso 7 
Castellón, 30127",40,524,Sí,5
Tomates,"Glorieta Lázaro Espinosa 880 Puerta 0 
Cádiz, 18020",24,881,Sí,1
Tomates,"Calle de Balduino Alonso 6 Apt. 55 
Zamora, 05826",82,654,No,4
Tomates,"C. de Ovidio Bermejo 26 Puerta 5 
Granada, 28607",68,760,Sí,4
Tomates,"Plaza de Azahara Heredia 8 Puerta 1 
Álava, 51416",55,143,Sí,3
Tomates,"C. Margarita Escalona 48 Apt. 72 
Cádiz, 40730",43,722,Sí,3
Tomates,"Rambla de Rosario Amigó 26 Apt. 69 
Ciudad, 07933",13,690,Sí,6
Tomates,"Vial de Víctor Franch 4 Apt. 65 
Baleares, 01463",48,921,Sí,3
Tomates,"C. de Edelmiro Ortuño 2 Apt. 75 
Lugo, 42324",75,985,No,5
Tomates,"Plaza de Coral Estévez 40 Piso 2 
Almería, 51549",53,764,No,6
Tomates,"Avenida de Ambrosio Hierro 40
Ourense, 15920",61,472,Sí,4
Tomates,"Acceso de Quirino Sierra 768
Guipúzcoa, 49144",24,413,Sí,3
Tomates,"Urbanización de Rosalva Ballesteros 48
Granada, 15409",13,907,No,8
Tomates,"Via Miguel Ángel Guerrero 22 Puerta 8 
Huelva, 11573",22,392,Sí,5
Tomates,"Cañada de Maximiliano Frías 8 Puerta 1 
Albacete, 18948",47,706,No,1
Tomates,"Vial Javiera Moliner 332
Zamora, 03849",50,757,Sí,7
Tomates,"Alameda de Joel Barco 10
Pontevedra, 01250",90,742,No,8
Tomates,"Alameda Salud Catalá 16 Puerta 6 
Baleares, 18514",80,505,No,7
Tomates,"Ronda Anastasio Múgica 87
Baleares, 30442",91,403,No,1
Tomates,"Alameda de Fabio Millán 25
Valladolid, 18791",57,253,No,4
Tomates,"Callejón de Griselda Izquierdo 7 Apt. 17 
Málaga, 16297",83,162,Sí,1
Tomates,"Urbanización Eva María Criado 27
Almería, 34185",47,817,Sí,3
Tomates,"Callejón de Vilma Carlos 77
Ceuta, 27973",22,993,No,7
Tomates,"Paseo de Ibán Castell 74
Guipúzcoa, 08408",92,159,Sí,2
Tomates,"Pasadizo Paulino Dueñas 97
Burgos, 11279",74,580,No,3
Tomates,"Ronda de Bárbara Ibañez 76 Apt. 16 
Cáceres, 12907",37,817,No,4
Tomates,"Paseo Josefina Folch 66 Puerta 9 
Ceuta, 29321",4,383,No,1
Tomates,"Cañada Jacobo Jordán 77
Tarragona, 44036",8,443,Sí,5
Tomates,"Avenida de Matilde Cárdenas 4
Soria, 45648",56,639,No,8
Tomates,"Via de Nuria Morales 355 Puerta 7 
Guipúzcoa, 35739",70,570,No,8
Tomates,"C. de Ale Baquero 3 Piso 5 
Lleida, 49969",53,681,Sí,4
Tomates,"Callejón de Cesar Alvarado 9
Granada, 13261",58,183,No,1
Tomates,"Alameda Jose Ramón Prada 83 Piso 1 
Soria, 18070",46,853,No,2
Tomates,"C. de Fortunato Miranda 70 Piso 7 
Córdoba, 18926",35,557,No,6
Tomates,"Glorieta de Hilario Ferrero 76 Apt. 21 
Santa Cruz de Tenerife, 04579",13,427,Sí,8
Tomates,"Glorieta de Fidela Albero 38
Huelva, 50241",17,598,Sí,4
Tomates,"C. José Manuel Salmerón 39
Navarra, 51198",94,748,No,1
Tomates,"Calle Lino Aparicio 2 Apt. 81 
Granada, 30547",20,250,No,6
Tomates,"Ronda Roxana Company 67
Almería, 28922",7,730,Sí,6
Tomates,"Pasadizo de Celestina Otero 616
Segovia, 13479",29,930,No,1
Tomates,"Calle de Ovidio Casanovas 48
Palencia, 28847",8,112,No,6
Tomates,"Plaza de Ariel Coello 8 Apt. 69 
Lleida, 49989",98,297,Sí,7
Tomates,"Via Reyes Salamanca 49 Puerta 5 
Zamora, 31316",57,406,Sí,1
Tomates,"Vial Horacio Coll 60
Ceuta, 31895",32,393,Sí,6
Tomates,"Rambla Raimundo Montaña 35 Piso 9 
Santa Cruz de Tenerife, 51675",90,727,Sí,1
Tomates,"Paseo Salvador Vega 30 Puerta 5 
Las Palmas, 31753",19,156,Sí,8
Tomates,"C. Sandra Quintana 181
Toledo, 11944",39,439,No,6
Tomates,"Alameda de Hermenegildo Lozano 4 Puerta 6 
Asturias, 14718",14,272,Sí,1
Tomates,"Cañada de Juanito Corral 98 Piso 1 
Toledo, 06865",7,332,No,5
Tomates,"Ronda Azahara Peral 10
Ceuta, 14935",37,546,Sí,2
Tomates,"Callejón de Etelvina Vidal 34
Castellón, 22914",19,411,No,6
Tomates,"Urbanización Marcio Calderon 957 Puerta 3 
Álava, 09530",8,802,Sí,2
Tomates,"Rambla Nazaret Rincón 57
Zamora, 09676",88,935,Sí,2
Tomates,"Paseo Benjamín Puga 2
Barcelona, 24016",1,993,Sí,2
Tomates,"Via Pilar Pinilla 650
Segovia, 32701",60,917,Sí,4
Tomates,"Camino de Segismundo Perales 65 Piso 2 
Alicante, 13105",12,657,Sí,2
Tomates,"Calle Gloria Pelayo 29 Puerta 1 
Segovia, 45557",81,756,Sí,1
Tomates,"Calle de Albano Echeverría 50
Cádiz, 06036",60,942,No,6
Tomates,"Alameda de Erasmo Duarte 34 Puerta 0 
Lugo, 51410",40,146,Sí,5
Tomates,"C. Agustina Sabater 57
Murcia, 19891",11,615,Sí,7
Tomates,"Avenida de Hernando Pereira 59
Segovia, 52023",44,572,No,4
Tomates,"Paseo Ibán Gibert 95 Puerta 0 
Baleares, 38911",61,338,Sí,1
Tomates,"Avenida de Eloy Carlos 95
Vizcaya, 15901",74,171,No,5
Tomates,"Urbanización de Trini Hervia 24 Puerta 8 
Huesca, 44151",25,331,Sí,4
Tomates,"Via de Ulises Polo 95 Puerta 0 
Córdoba, 51837",22,471,Sí,6
Tomates,"Cañada Reina Angulo 87
Zaragoza, 32512",15,164,Sí,5
Tomates,"Glorieta Lucas Carbajo 22 Apt. 98 
Ourense, 40918",6,582,No,1
Tomates,"Pasadizo Juan Carlos Pablo 323
León, 43446",11,381,Sí,4
Tomates,"Plaza de Marco Nieto 75
Santa Cruz de Tenerife, 13869",19,427,Sí,2
Tomates,"Paseo Rico Gimeno 72 Piso 2 
Segovia, 41875",57,807,Sí,8
Tomates,"Alameda de Gaspar Ojeda 32 Apt. 94 
Zamora, 27401",41,941,Sí,5
Tomates,"Ronda Venceslás Camps 5 Apt. 06 
Segovia, 51401",30,242,No,5
Tomates,"Pasaje Roberto Beltran 30
Cáceres, 50448",61,652,Sí,6
Tomates,"Pasadizo Clemente Cabrero 74 Apt. 72 
Las Palmas, 28936",88,747,Sí,2
Tomates,"Callejón Priscila Seguí 9 Puerta 4 
León, 01053",20,460,Sí,1
Tomates,"Acceso de Pastor Vilanova 49 Piso 2 
Ourense, 24645",92,405,No,7
Tomates,"Vial Agapito Espada 5
Huelva, 27791",87,1000,Sí,7
Tomates,"Rambla de Jose Ramón Riera 899
Alicante, 05549",64,133,No,5
Tomates,"Via de Federico Bejarano 63 Puerta 8 
Baleares, 40100",95,441,No,4
Tomates,"Cañada Caridad Sales 9
Sevilla, 40743",79,142,No,3
Tomates,"Via Zaida Rovira 689
Guipúzcoa, 51666",58,133,No,2
Tomates,"Avenida de Rosario Bermudez 351 Piso 1 
Badajoz, 04001",53,761,Sí,2
Tomates,"Cañada Gisela Torrijos 64 Apt. 20 
Teruel, 05311",32,326,Sí,5
Tomates,"Vial Tristán Jódar 94
Teruel, 23111",83,848,Sí,6
Tomates,"Urbanización Julia Garzón 7
Ciudad, 17979",19,798,Sí,8
Tomates,"Paseo Luisa Cruz 72 Piso 8 
Cáceres, 39690",2,772,Sí,7
Tomates,"Cuesta Adriana Pou 895
Cáceres, 51829",18,826,No,6
Tomates,"Cuesta de Lupe Nadal 23
Huesca, 15225",46,869,Sí,4
Tomates,"Ronda Aura Cuéllar 93
Segovia, 26597",78,629,No,8
Tomates,"Pasadizo Georgina Fonseca 9
Guipúzcoa, 34180",15,150,Sí,7
Tomates,"Paseo Eligio Cueto 9 Piso 1 
Castellón, 44698",3,364,Sí,2
Tomates,"C. Jordana Castillo 98 Piso 2 
Cádiz, 08158",16,171,No,2
Tomates,"Calle Tomasa Llamas 66
Lugo, 38872",36,252,No,7
Tomates,"Ronda de Pío Hierro 5 Piso 1 
Melilla, 34874",75,410,Sí,8
Tomates,"Cuesta de Estefanía Manzanares 66 Puerta 1 
Almería, 06893",37,800,Sí,3
Tomates,"Acceso de Fulgencio Acedo 89 Apt. 40 
Cantabria, 19745",17,320,No,7
Tomates,"C. de Julie Gallardo 3
Zaragoza, 27122",62,661,No,4
Tomates,"Pasadizo Eloísa Montoya 91 Piso 2 
Lugo, 35912",27,429,Sí,5
Tomates,"Pasadizo de Herminia Casanova 56 Apt. 68 
Cantabria, 12179",44,157,Sí,2
Tomates,"Cuesta de Encarna Cordero 31
Girona, 36508",50,717,No,8
Tomates,"Via de María Del Carmen Palomares 432
Huelva, 48575",73,917,Sí,7
