tipo_cultivo	ubicacion_geografica	tamano_finca	rendimiento_cultivo	uso_fertilizantes	precio_venta(€/kg)
d	d	continuous	continuous	d	d
					class
Tomates	Valladolid	54	6	no	66
Tomates	La Coruña	39	62	no	75
Tomates	Málaga	18	37	si	97
Tomates	Salamanca	33	69	si	40
Tomates	Toledo	10	88	no	61
Tomates	Huelva	56	41	si	71
Tomates	León	67	34	si	71
Tomates	Ávila	93	52	si	79
Tomates	Guipúzcoa	32	94	no	91
Tomates	Cantabria	73	29	si	19
Tomates	Ávila	11	41	no	14
Tomates	Navarra	38	91	si	71
Tomates	Murcia	27	78	no	57
Tomates	Pontevedra	50	41	si	38
Tomates	Cantabria	24	5	no	61
Tomates	Ávila	87	97	si	20
Tomates	Ávila	90	70	no	91
Tomates	Melilla	31	28	no	75
Tomates	León	64	85	no	11
Tomates	Salamanca	15	63	no	25
Tomates	Albacete	94	35	si	91
Tomates	Huesca	22	43	no	8
Tomates	Zamora	19	90	si	6
Tomates	Albacete	16	82	si	78
Tomates	La Coruña	12	48	si	5
Tomates	Cantabria	24	92	si	62
Tomates	Toledo	8	87	si	70
Tomates	Salamanca	13	34	si	29
Tomates	Segovia	39	45	no	24
Tomates	Málaga	60	6	si	90
Tomates	Cantabria	34	46	no	73
Tomates	Tarragona	87	27	si	87
Tomates	Cáceres	44	68	no	16
Tomates	Sevilla	23	2	no	88
Tomates	Ourense	66	40	no	50
Tomates	Burgos	72	89	si	59
Tomates	Guipúzcoa	95	6	no	18
Tomates	Valladolid	62	46	no	87
Tomates	Palencia	82	80	si	92
Tomates	Jaén	96	54	si	1
Tomates	Tarragona	43	21	si	29
Tomates	Jaén	91	87	no	5
Tomates	Tarragona	73	54	si	22
Tomates	Asturias	34	90	si	58
Tomates	Navarra	78	97	si	5
Tomates	Guadalajara	40	60	si	54
Tomates	Navarra	82	11	si	2
Tomates	Soria	54	41	si	28
Tomates	Teruel	97	1	si	25
Tomates	Pontevedra	84	26	no	36
Tomates	Badajoz	61	51	si	3
Tomates	León	15	33	si	84
Tomates	Baleares	20	36	si	6
Tomates	Castellón	88	34	no	47
Tomates	Valencia	90	78	no	92
Tomates	Santa Cruz de Tenerife	56	48	si	27
Tomates	Palencia	38	2	si	20
Tomates	Guipúzcoa	44	48	si	44
Tomates	Alicante	35	21	si	75
Tomates	Huesca	51	71	si	38
Tomates	Lugo	94	31	si	40
Tomates	Melilla	94	10	no	52
Tomates	Granada	54	14	si	72
Tomates	Lugo	44	44	si	62
Tomates	Tarragona	64	55	si	39
Tomates	Valencia	88	20	si	81
Tomates	Zaragoza	82	12	si	11
Tomates	Valencia	29	8	no	2
Tomates	La Coruña	72	67	no	58
Tomates	Zamora	75	92	si	55
Tomates	Huesca	29	34	si	56
Tomates	Huelva	15	9	si	68
Tomates	Valladolid	87	26	si	64
Tomates	Córdoba	27	83	si	28
Tomates	Badajoz	26	59	no	47
Tomates	Badajoz	77	63	si	73
Tomates	Santa Cruz de Tenerife	88	55	no	87
Tomates	Madrid	64	82	si	70
Tomates	Álava	44	91	no	42
Tomates	Melilla	19	33	si	49
Tomates	Teruel	91	61	si	11
Tomates	Asturias	29	17	si	39
Tomates	Valladolid	58	43	si	20
Tomates	Huesca	65	49	si	74
Tomates	Soria	67	98	si	96
Tomates	Valladolid	27	38	no	62
Tomates	Pontevedra	76	30	si	85
Tomates	Valencia	24	39	no	43
Tomates	Madrid	34	39	no	50
Tomates	Almería	21	83	si	31
Tomates	Toledo	43	8	si	62
Tomates	Burgos	63	78	si	87
Tomates	Zaragoza	46	53	si	79
Tomates	Jaén	59	7	si	61
Tomates	Albacete	5	77	si	81
Tomates	Badajoz	90	71	no	25
Tomates	Zamora	100	100	no	15
Tomates	Salamanca	90	60	no	84
Tomates	Soria	92	80	no	17
Tomates	Zaragoza	38	96	si	67
Tomates	Alicante	51	57	no	97
Tomates	Lleida	46	81	si	6
Tomates	Madrid	33	4	si	30
Tomates	Vizcaya	81	100	no	65
Tomates	Baleares	19	55	no	11
Tomates	La Rioja	9	13	no	100
Tomates	Toledo	4	58	no	88
Tomates	Albacete	64	42	no	11
Tomates	Asturias	16	46	si	45
Tomates	Cádiz	2	30	no	10
Tomates	Castellón	1	27	si	96
Tomates	Girona	48	89	si	78
Tomates	Burgos	24	59	si	62
Tomates	Teruel	34	17	si	27
Tomates	Guipúzcoa	61	38	no	71
Tomates	Cádiz	76	11	si	69
Tomates	Cáceres	49	19	si	29
Tomates	Málaga	32	31	si	38
Tomates	La Rioja	85	6	si	77
