tipo_cultivo	ubicacion_geografica	tamano_finca	rendimiento_cultivo	uso_fertilizantes	precio_venta(€/kg)
d	d	continuous	continuous	d	d
					class
Tomates	Las Palmas	61	70	si	74
Tomates	Ciudad	51	37	si	41
Tomates	Granada	47	10	no	93
Tomates	Salamanca	84	1	si	97
Tomates	Álava	34	28	no	20
Tomates	Jaén	2	70	no	34
Tomates	Melilla	48	7	si	72
Tomates	Córdoba	50	29	si	34
Tomates	Huelva	3	19	no	2
Tomates	León	48	52	no	58
Tomates	Huelva	33	69	si	76
Tomates	La Rioja	65	45	no	100
Tomates	Zaragoza	48	32	no	20
Tomates	Valladolid	51	99	no	51
Tomates	Barcelona	10	43	no	96
Tomates	Murcia	52	31	no	51
Tomates	Toledo	5	31	no	38
Tomates	Girona	95	87	no	28
Tomates	Guipúzcoa	33	86	no	95
Tomates	Girona	46	67	no	97
Tomates	Granada	39	77	si	33
Tomates	Ourense	12	60	si	24
Tomates	Salamanca	68	36	no	21
Tomates	Las Palmas	52	43	no	20
Tomates	Málaga	91	76	si	97
Tomates	Cuenca	91	40	no	33
Tomates	Albacete	26	5	si	87
Tomates	Salamanca	25	73	no	26
Tomates	Badajoz	33	52	no	24
Tomates	Guipúzcoa	30	82	no	72
Tomates	Huesca	43	55	si	26
Tomates	Guipúzcoa	35	67	no	96
Tomates	Zaragoza	97	13	no	62
Tomates	Pontevedra	68	95	no	53
Tomates	Huelva	5	9	no	49
Tomates	León	36	89	si	50
Tomates	Ávila	18	69	no	63
Tomates	Zaragoza	29	52	si	12
Tomates	Barcelona	69	5	no	20
Tomates	Madrid	13	43	no	36
Tomates	Huelva	64	42	si	43
Tomates	La Coruña	78	80	no	34
Tomates	Cádiz	14	22	no	55
Tomates	Barcelona	87	8	si	49
Tomates	Santa Cruz de Tenerife	17	65	si	56
Tomates	Teruel	91	35	no	79
Tomates	Navarra	41	30	no	66
Tomates	Asturias	98	64	no	10
Tomates	Pontevedra	70	83	no	75
Tomates	Segovia	74	18	si	13
Tomates	Ceuta	94	98	no	40
Tomates	León	17	54	si	44
Tomates	Badajoz	61	7	no	96
Tomates	Soria	34	39	no	39
Tomates	Lleida	23	57	no	19
Tomates	Asturias	71	67	no	13
Tomates	Pontevedra	4	36	si	5
Tomates	Segovia	18	46	si	3
Tomates	Badajoz	64	64	no	51
Tomates	Barcelona	67	74	no	64
Tomates	Granada	36	98	no	88
Tomates	Melilla	4	74	si	90
Tomates	Lugo	49	64	si	45
Tomates	Guipúzcoa	79	85	no	82
Tomates	Guipúzcoa	13	10	no	6
Tomates	Madrid	95	57	si	72
Tomates	Cuenca	41	97	si	69
Tomates	Toledo	3	37	no	26
Tomates	Burgos	4	44	si	49
Tomates	Toledo	47	85	no	72
Tomates	León	28	23	si	7
Tomates	La Coruña	59	57	si	19
Tomates	La Coruña	70	86	no	94
Tomates	Teruel	45	78	no	11
Tomates	Baleares	99	89	si	5
Tomates	Cáceres	76	100	si	86
Tomates	Soria	7	72	si	31
Tomates	Las Palmas	28	57	no	1
Tomates	Castellón	83	86	si	7
Tomates	Ourense	8	49	no	95
Tomates	Cantabria	100	39	no	11
Tomates	Guadalajara	23	84	no	68
Tomates	Castellón	72	32	si	23
Tomates	Girona	47	36	si	54
Tomates	Toledo	94	24	no	35
Tomates	Vizcaya	83	68	no	95
Tomates	Málaga	82	14	no	29
Tomates	Vizcaya	82	15	si	82
Tomates	Vizcaya	32	37	no	33
Tomates	Guipúzcoa	48	30	si	88
Tomates	Valladolid	85	41	no	43
Tomates	Almería	69	77	no	29
Tomates	Soria	94	60	no	38
Tomates	Guadalajara	60	6	no	96
Tomates	Segovia	4	2	no	46
Tomates	Guadalajara	35	47	si	100
Tomates	Pontevedra	20	22	si	92
Tomates	Huesca	10	52	si	57
Tomates	Segovia	10	23	no	43
Tomates	Córdoba	61	6	si	87
Tomates	Guipúzcoa	57	17	no	32
Tomates	Valladolid	55	36	no	2
Tomates	Cuenca	92	55	no	44
Tomates	Sevilla	55	72	no	79
Tomates	Zaragoza	96	86	si	49
Tomates	Lugo	68	55	no	30
Tomates	Teruel	59	56	no	28
Tomates	Guadalajara	86	30	si	98
Tomates	Girona	85	32	si	54
Tomates	Pontevedra	98	22	no	12
Tomates	Las Palmas	2	30	no	52
Tomates	Cuenca	28	11	no	22
Tomates	Alicante	40	99	si	52
Tomates	Castellón	78	40	si	77
Tomates	Baleares	55	94	no	65
Tomates	Cádiz	62	69	si	2
Tomates	Valencia	36	39	si	81
Tomates	Ourense	37	2	no	3
